,0,1,2,3,4,5,6,7,8,9,10
2,paw_r,tongue_end_r,nose,motion_energy_right,paw_l,wheel_velocity,motion_energy_left,pupil_diameter,opto_stim,motion_energy_body,tongue_end_l
5,pupil_diameter,wheel_velocity,opto_stim,motion_energy_right,nose,motion_energy_left,paw_l,paw_r,tongue_end_l,tongue_end_r,motion_energy_body
11,tongue_end_l,motion_energy_left,wheel_velocity,paw_r,tongue_end_r,motion_energy_body,paw_l,opto_stim,nose,motion_energy_right,pupil_diameter
12,pupil_diameter,paw_l,paw_r,motion_energy_right,motion_energy_body,opto_stim,motion_energy_left,nose,wheel_velocity,tongue_end_l,tongue_end_r
18,tongue_end_r,opto_stim,motion_energy_body,nose,motion_energy_right,tongue_end_l,pupil_diameter,paw_l,wheel_velocity,motion_energy_left,paw_r
21,tongue_end_r,pupil_diameter,tongue_end_l,paw_l,paw_r,motion_energy_right,motion_energy_left,opto_stim,nose,wheel_velocity,motion_energy_body
24,wheel_velocity,opto_stim,paw_l,motion_energy_left,pupil_diameter,motion_energy_body,tongue_end_l,motion_energy_right,tongue_end_r,nose,paw_r
25,pupil_diameter,paw_l,paw_r,nose,motion_energy_body,motion_energy_right,tongue_end_r,opto_stim,wheel_velocity,tongue_end_l,motion_energy_left
27,tongue_end_l,paw_l,motion_energy_body,motion_energy_left,motion_energy_right,nose,wheel_velocity,paw_r,pupil_diameter,tongue_end_r,opto_stim
32,pupil_diameter,tongue_end_l,motion_energy_left,opto_stim,tongue_end_r,paw_l,motion_energy_right,paw_r,wheel_velocity,motion_energy_body,nose
34,paw_r,nose,paw_l,opto_stim,tongue_end_r,pupil_diameter,motion_energy_left,motion_energy_body,motion_energy_right,tongue_end_l,wheel_velocity
36,motion_energy_left,nose,paw_r,paw_l,tongue_end_r,tongue_end_l,pupil_diameter,wheel_velocity,motion_energy_right,opto_stim,motion_energy_body
37,paw_r,opto_stim,wheel_velocity,pupil_diameter,tongue_end_r,motion_energy_body,motion_energy_right,nose,paw_l,motion_energy_left,tongue_end_l
38,tongue_end_r,nose,tongue_end_l,paw_l,wheel_velocity,motion_energy_right,motion_energy_body,paw_r,motion_energy_left,opto_stim,pupil_diameter
40,paw_l,paw_r,opto_stim,wheel_velocity,motion_energy_body,tongue_end_r,tongue_end_l,motion_energy_left,pupil_diameter,motion_energy_right,nose
46,paw_r,motion_energy_right,tongue_end_l,motion_energy_body,pupil_diameter,opto_stim,motion_energy_left,paw_l,tongue_end_r,nose,wheel_velocity
54,paw_r,motion_energy_left,motion_energy_right,motion_energy_body,tongue_end_l,paw_l,nose,opto_stim,pupil_diameter,tongue_end_r,wheel_velocity
57,pupil_diameter,opto_stim,tongue_end_r,tongue_end_l,motion_energy_body,motion_energy_right,paw_r,nose,motion_energy_left,wheel_velocity,paw_l
67,nose,motion_energy_body,paw_l,wheel_velocity,opto_stim,paw_r,motion_energy_right,tongue_end_r,motion_energy_left,tongue_end_l,pupil_diameter
70,tongue_end_l,pupil_diameter,opto_stim,tongue_end_r,motion_energy_right,paw_r,nose,wheel_velocity,paw_l,motion_energy_left,motion_energy_body
72,pupil_diameter,tongue_end_l,tongue_end_r,opto_stim,nose,motion_energy_right,wheel_velocity,motion_energy_body,motion_energy_left,paw_r,paw_l
77,pupil_diameter,nose,paw_l,motion_energy_left,paw_r,motion_energy_body,wheel_velocity,motion_energy_right,opto_stim,tongue_end_r,tongue_end_l
81,paw_r,nose,motion_energy_left,wheel_velocity,paw_l,motion_energy_body,motion_energy_right,tongue_end_r,tongue_end_l,pupil_diameter,opto_stim
84,pupil_diameter,motion_energy_body,paw_l,motion_energy_right,opto_stim,tongue_end_r,tongue_end_l,paw_r,wheel_velocity,motion_energy_left,nose
87,motion_energy_left,motion_energy_body,tongue_end_r,tongue_end_l,paw_r,nose,pupil_diameter,paw_l,motion_energy_right,opto_stim,wheel_velocity
89,pupil_diameter,tongue_end_l,motion_energy_right,tongue_end_r,opto_stim,motion_energy_body,paw_r,nose,paw_l,wheel_velocity,motion_energy_left
96,paw_l,wheel_velocity,tongue_end_l,pupil_diameter,motion_energy_right,motion_energy_body,nose,paw_r,tongue_end_r,opto_stim,motion_energy_left
102,opto_stim,pupil_diameter,motion_energy_body,motion_energy_right,paw_r,paw_l,wheel_velocity,motion_energy_left,tongue_end_r,tongue_end_l,nose
104,motion_energy_right,tongue_end_r,tongue_end_l,nose,motion_energy_body,paw_l,opto_stim,paw_r,motion_energy_left,pupil_diameter,wheel_velocity
106,tongue_end_l,pupil_diameter,tongue_end_r,nose,motion_energy_right,motion_energy_left,opto_stim,motion_energy_body,paw_l,paw_r,wheel_velocity
112,motion_energy_body,nose,paw_l,opto_stim,motion_energy_left,motion_energy_right,tongue_end_r,tongue_end_l,wheel_velocity,pupil_diameter,paw_r
115,pupil_diameter,nose,motion_energy_right,motion_energy_left,motion_energy_body,tongue_end_l,tongue_end_r,paw_r,opto_stim,wheel_velocity,paw_l
121,tongue_end_r,paw_l,motion_energy_body,tongue_end_l,motion_energy_right,wheel_velocity,paw_r,opto_stim,nose,motion_energy_left,pupil_diameter
122,tongue_end_l,paw_l,opto_stim,pupil_diameter,wheel_velocity,motion_energy_left,motion_energy_right,tongue_end_r,motion_energy_body,paw_r,nose
125,paw_l,wheel_velocity,nose,motion_energy_right,pupil_diameter,motion_energy_body,paw_r,opto_stim,tongue_end_l,tongue_end_r,motion_energy_left
127,pupil_diameter,tongue_end_l,opto_stim,nose,motion_energy_body,motion_energy_left,motion_energy_right,wheel_velocity,paw_r,paw_l,tongue_end_r
128,paw_l,opto_stim,nose,paw_r,motion_energy_right,motion_energy_body,tongue_end_l,pupil_diameter,wheel_velocity,tongue_end_r,motion_energy_left
